         208441 function calls (201061 primitive calls) in 0.386 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _exceptions.py:215(_ArrayMemoryError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:32(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:38(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:54(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:72(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:81(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:99(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:47(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:60(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:80(__new__)
        9    0.000    0.000    0.000    0.000 _globals.py:90(__repr__)
        1    0.000    0.000    0.000    0.000 _globals.py:97(_CopyMode)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       20    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
       21    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      618    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:205(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 _internal.py:249(_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:614(_Stream)
       50    0.000    0.000    0.000    0.000 _internal.py:870(_ufunc_doc_signature_formatter)
       78    0.000    0.000    0.000    0.000 _internal.py:881(<genexpr>)
       13    0.000    0.000    0.000    0.000 _internal.py:918(npy_ctypes_check)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
